Date,Canton,Blood_Type,Blood_in_Liter,Demand_in_Liter
2023-01-01,BS,AB+,16.49,12.59
2023-01-01,BS,AB-,23.25,13.48
2023-01-01,BS,0+,21.16,14.77
2023-01-01,BS,0-,20.99,13.69
2023-01-01,BL,A+,28.87,19.52
2023-01-01,BL,A-,13.53,8.4
2023-01-01,BL,B+,13.75,9.56
2023-01-01,BL,B-,10.6,8.82
2023-01-01,BL,AB+,10.55,9.23
2023-01-01,BL,AB-,7.92,20.72
2023-01-01,BL,0+,12.01,7.98
2023-01-01,BL,0-,6.98,20.38
2023-01-01,SH,A+,12.7,7.03
2023-01-01,SH,A-,7.18,5.74
2023-01-01,SH,B+,5.46,3.11
2023-01-01,SH,B-,5.98,4.59
2023-01-01,SH,AB+,6.76,4.38
2023-01-01,SH,AB-,12.61,7.65
2023-01-01,SH,0+,5.17,3.99
2023-01-01,SH,0-,3.83,3.43
2023-01-01,AR,A+,3.37,2.52
2023-01-01,AR,A-,6.05,4.74
2023-01-01,AR,B+,5.33,4.35
2023-01-01,AR,B-,2.35,5.41
2023-01-01,AR,AB+,4.4,3.41
2023-01-01,AR,AB-,8.28,4.41
2023-01-01,AR,0+,13.81,7.39
2023-01-01,AR,0-,2.97,7.31
2023-01-01,AI,A+,2.34,1.61
2023-01-01,AI,A-,1.95,1.6
2023-01-01,AI,B+,2.75,2.77
2023-01-01,AI,B-,3.54,2.47
2023-01-01,AI,AB+,2.39,1.23
2023-01-01,AI,AB-,2.83,1.71
2023-01-01,AI,0+,2.41,1.27
2023-01-01,AI,0-,0.35,1.22
2023-01-01,SG,A+,40.57,24.35
2023-01-01,SG,A-,33.47,23.58
2023-01-01,SG,B+,26.32,16.84
2023-01-01,SG,B-,22.03,12.73
2023-01-01,SG,AB+,30.81,23.01
2023-01-01,SG,AB-,6.55,25.52
2023-01-01,SG,0+,5.77,15.52
2023-01-01,SG,0-,27.1,18.01
2023-01-01,GR,A+,34.79,18.78
2023-01-01,GR,A-,6.65,6.62
2023-01-01,GR,B+,19.35,15.95
2023-01-01,GR,B-,7.8,19.21
2023-01-01,GR,AB+,11.84,8.46
2023-01-01,GR,AB-,14.12,12.59
2023-01-01,GR,0+,23.79,12.16
2023-01-01,GR,0-,10.91,7.27
2023-01-01,AG,A+,29.08,15.15
2023-01-01,AG,A-,28.27,14.97
2023-01-01,AG,B+,19.95,16.29
2023-01-01,AG,B-,22.83,14.49
2023-01-01,AG,AB+,28.38,18.58
2023-01-01,AG,AB-,15.8,9.87
2023-01-01,AG,0+,27.6,16.68
2023-01-01,AG,0-,33.31,21.85
2023-01-01,TG,A+,9.46,5.08
2023-01-01,TG,A-,9.67,7.63
2023-01-01,TG,B+,18.64,13.47
2023-01-01,TG,B-,21.69,11.17
2023-01-01,TG,AB+,14.24,8.94
2023-01-01,TG,AB-,26.79,13.41
2023-01-01,TG,0+,6.1,5.07
2023-01-01,TG,0-,9.2,7.15
2023-01-01,TI,A+,30.99,15.62
2023-01-01,TI,A-,17.7,9.55
2023-01-01,TI,B+,20.16,16.61
2023-01-01,TI,B-,14.29,8.73
2023-01-01,TI,AB+,20.95,15.83
2023-01-01,TI,AB-,12.69,8.53
2023-01-01,TI,0+,14.04,7.88
2023-01-01,TI,0-,12.12,11.36
2023-01-01,VD,A+,23.84,13.32
2023-01-01,VD,A-,49.53,31.43
2023-01-01,VD,B+,30.11,21.25
2023-01-01,VD,B-,24.37,24.68
2023-01-01,VD,AB+,27.3,14.69
2023-01-01,VD,AB-,21.65,12.65
2023-01-01,VD,0+,33.67,19.28
2023-01-01,VD,0-,28.96,16.61
2023-01-01,VS,A+,34.43,20.17
2023-01-01,VS,A-,14.8,7.98
2023-01-01,VS,B+,17.96,14.68
2023-01-01,VS,B-,19.56,14.26
2023-01-01,VS,AB+,6.74,18.0
2023-01-01,VS,AB-,20.36,10.48
2023-01-01,VS,0+,18.8,10.89
2023-01-01,VS,0-,28.67,19.28
2023-01-01,NE,A+,6.87,3.8
2023-01-01,NE,A-,7.12,4.28
2023-01-01,NE,B+,11.91,6.44
2023-01-01,NE,B-,8.88,4.93
2023-01-01,NE,AB+,7.24,5.68
2023-01-01,NE,AB-,14.0,8.73
2023-01-01,NE,0+,9.69,5.81
2023-01-01,NE,0-,5.97,4.95
2023-01-01,GE,A+,36.31,21.14
2023-01-01,GE,A-,13.74,9.87
2023-01-01,GE,B+,7.07,23.45
2023-01-01,GE,B-,21.52,17.66
2023-01-01,GE,AB+,37.53,26.97
2023-01-01,GE,AB-,40.01,25.4
2023-01-01,GE,0+,27.0,13.77
2023-01-01,GE,0-,4.02,10.55
2023-01-01,JU,A+,0.64,2.46
2023-01-01,JU,A-,7.5,5.8
2023-01-01,JU,B+,5.42,3.46
2023-01-01,JU,B-,6.11,4.95
2023-01-01,JU,AB+,7.53,5.09
2023-01-01,JU,AB-,4.94,4.37
2023-01-01,JU,0+,9.31,5.32
2023-01-01,JU,0-,6.82,5.08
2023-01-08,ZH,A+,6.06,18.2
2023-01-08,ZH,A-,67.75,41.05
2023-01-08,ZH,B+,12.58,34.84
2023-01-08,ZH,B-,28.04,18.51
2023-01-08,ZH,AB+,52.79,29.4
2023-01-08,ZH,AB-,25.08,22.91
2023-01-08,ZH,0+,26.92,25.86
2023-01-08,ZH,0-,61.04,40.89
2023-01-08,BE,A+,20.22,10.27
2023-01-08,BE,A-,23.63,15.05
2023-01-08,BE,B+,5.96,21.2
2023-01-08,BE,B-,23.96,15.53
2023-01-08,BE,AB+,38.69,21.44
2023-01-08,BE,AB-,5.61,17.18
2023-01-08,BE,0+,31.21,24.0
2023-01-08,BE,0-,24.15,16.41
2023-01-08,LU,A+,24.3,19.17
2023-01-08,LU,A-,35.94,20.93
2023-01-08,LU,B+,14.44,10.81
2023-01-08,LU,B-,27.6,19.37
2023-01-08,LU,AB+,24.28,19.0
2023-01-08,LU,AB-,13.74,8.91
2023-01-08,LU,0+,19.64,13.08
2023-01-08,LU,0-,20.83,17.23
2023-01-08,UR,A+,18.1,9.4
2023-01-08,UR,A-,11.58,9.1
2023-01-08,UR,B+,14.13,10.08
2023-01-08,UR,B-,6.43,5.02
2023-01-08,UR,AB+,19.14,9.9
2023-01-08,UR,AB-,11.07,5.54
2023-01-08,UR,0+,8.62,4.62
2023-01-08,UR,0-,5.6,8.03
2023-01-08,SZ,A+,19.56,12.97
2023-01-08,SZ,A-,22.02,12.18
2023-01-08,SZ,B+,9.0,4.82
2023-01-08,SZ,B-,11.69,6.07
2023-01-08,SZ,AB+,14.48,9.11
2023-01-08,SZ,AB-,11.83,7.53
2023-01-08,SZ,0+,23.09,12.25
2023-01-08,SZ,0-,2.57,8.91
2023-01-08,OW,A+,3.12,2.03
2023-01-08,OW,A-,7.69,4.03
2023-01-08,OW,B+,5.98,3.71
2023-01-08,OW,B-,0.6,1.84
2023-01-08,OW,AB+,4.46,3.44
2023-01-08,OW,AB-,3.78,2.58
2023-01-08,OW,0+,6.93,4.28
2023-01-08,OW,0-,2.78,2.6
2023-01-08,NW,A+,3.87,3.63
2023-01-08,NW,A-,1.98,5.84
2023-01-08,NW,B+,5.07,2.59
2023-01-08,NW,B-,6.29,4.95
2023-01-08,NW,AB+,5.43,5.35
2023-01-08,NW,AB-,3.06,2.58
2023-01-08,NW,0+,6.95,5.54
2023-01-08,NW,0-,4.75,3.04
2023-01-08,GL,A+,10.09,5.8
2023-01-08,GL,A-,1.32,4.41
2023-01-08,GL,B+,6.45,4.52
2023-01-08,GL,B-,8.09,4.85
2023-01-08,GL,AB+,3.46,2.44
2023-01-08,GL,AB-,3.44,3.35
2023-01-08,GL,0+,4.43,2.83
2023-01-08,GL,0-,7.73,4.62
2023-01-08,ZG,A+,13.29,8.47
2023-01-08,ZG,A-,4.19,8.05
2023-01-08,ZG,B+,2.16,8.21
2023-01-08,ZG,B-,6.6,3.58
2023-01-08,ZG,AB+,12.19,6.71
2023-01-08,ZG,AB-,5.7,4.24
2023-01-08,ZG,0+,12.37,7.56
2023-01-08,ZG,0-,7.68,4.84
2023-01-08,FR,A+,14.41,7.88
2023-01-08,FR,A-,20.39,10.45
2023-01-08,FR,B+,6.9,5.02
2023-01-08,FR,B-,9.93,8.07
2023-01-08,FR,AB+,7.35,6.21
2023-01-08,FR,AB-,16.8,10.88
2023-01-08,FR,0+,19.6,11.01
2023-01-08,FR,0-,8.82,6.15
2023-01-08,SO,A+,9.47,7.49
2023-01-08,SO,A-,14.9,8.36
2023-01-08,SO,B+,2.86,9.59
2023-01-08,SO,B-,3.34,12.39
2023-01-08,SO,AB+,24.17,16.91
2023-01-08,SO,AB-,13.51,10.97
2023-01-08,SO,0+,10.62,7.1
2023-01-08,SO,0-,12.09,10.41
2023-01-08,BS,A+,10.17,7.04
2023-01-08,BS,A-,9.13,6.02
2023-01-08,BS,B+,15.86,14.78
2023-01-08,BS,B-,22.82,12.59
2023-01-08,BS,AB+,22.12,14.7
2023-01-08,BS,AB-,13.38,9.27
2023-01-08,BS,0+,10.07,6.64
2023-01-08,BS,0-,11.26,7.44
2023-01-08,BL,A+,14.2,7.95
2023-01-08,BL,A-,9.62,8.09
2023-01-08,BL,B+,21.97,15.06
2023-01-08,BL,B-,18.41,17.41
2023-01-08,BL,AB+,12.73,9.3
2023-01-08,BL,AB-,11.03,7.41
2023-01-08,BL,0+,11.21,7.09
2023-01-08,BL,0-,7.22,17.72
2023-01-08,SH,A+,16.0,8.45
2023-01-08,SH,A-,1.82,6.47
2023-01-08,SH,B+,12.49,7.92
2023-01-08,SH,B-,5.79,3.62
2023-01-08,SH,AB+,7.19,3.69
2023-01-08,SH,AB-,9.43,5.15
2023-01-08,SH,0+,5.75,3.97
2023-01-08,SH,0-,6.25,4.14
2023-01-08,AR,A+,3.79,3.13
2023-01-08,AR,A-,10.19,5.63
2023-01-08,AR,B+,1.51,4.31
2023-01-08,AR,B-,1.53,4.51
2023-01-08,AR,AB+,7.29,4.71
2023-01-08,AR,AB-,9.84,6.2
2023-01-08,AR,0+,2.02,7.07
2023-01-08,AR,0-,1.95,6.97
2023-01-08,AI,A+,4.71,2.54
2023-01-08,AI,A-,2.4,1.61
2023-01-08,AI,B+,1.95,1.16
2023-01-08,AI,B-,3.4,2.26
2023-01-08,AI,AB+,4.41,2.99
2023-01-08,AI,AB-,4.0,2.66
2023-01-08,AI,0+,1.52,1.37
2023-01-08,AI,0-,3.24,2.08
2023-01-08,SG,A+,22.26,14.81
2023-01-08,SG,A-,22.49,13.99
2023-01-08,SG,B+,32.99,24.1
2023-01-08,SG,B-,10.56,9.91
2023-01-08,SG,AB+,37.73,26.77
2023-01-08,SG,AB-,5.2,18.78
2023-01-08,SG,0+,27.42,17.52
2023-01-08,SG,0-,20.86,21.28
2023-01-08,GR,A+,5.12,14.58
2023-01-08,GR,A-,11.45,11.48
2023-01-08,GR,B+,4.65,12.69
2023-01-08,GR,B-,25.05,19.05
2023-01-08,GR,AB+,15.54,9.81
2023-01-08,GR,AB-,14.02,9.44
2023-01-08,GR,0+,19.84,16.19
2023-01-08,GR,0-,5.55,18.26
2023-01-08,AG,A+,33.08,19.73
2023-01-08,AG,A-,32.58,21.66
2023-01-08,AG,B+,27.86,20.35
2023-01-08,AG,B-,27.42,15.4
2023-01-08,AG,AB+,16.71,10.53
2023-01-08,AG,AB-,20.8,18.37
2023-01-08,AG,0+,17.36,12.21
2023-01-08,AG,0-,27.47,23.13
2023-01-08,TG,A+,13.37,13.38
2023-01-08,TG,A-,9.25,7.03
2023-01-08,TG,B+,21.07,13.05
2023-01-08,TG,B-,6.12,4.66
2023-01-08,TG,AB+,11.51,10.4
2023-01-08,TG,AB-,10.21,6.19
2023-01-08,TG,0+,8.29,4.71
2023-01-08,TG,0-,5.68,8.44
2023-01-08,TI,A+,18.46,9.65
2023-01-08,TI,A-,4.16,11.75
2023-01-08,TI,B+,30.7,16.4
2023-01-08,TI,B-,22.87,17.12
2023-01-08,TI,AB+,12.81,7.7
2023-01-08,TI,AB-,11.18,7.55
2023-01-08,TI,0+,21.92,12.58
2023-01-08,TI,0-,21.55,11.47
2023-01-08,VD,A+,15.48,15.31
2023-01-08,VD,A-,33.22,21.72
2023-01-08,VD,B+,38.79,34.9
2023-01-08,VD,B-,8.56,20.55
2023-01-08,VD,AB+,43.42,23.99
2023-01-08,VD,AB-,58.96,35.31
2023-01-08,VD,0+,32.52,16.93
2023-01-08,VD,0-,8.38,31.52
2023-01-08,VS,A+,12.42,9.44
2023-01-08,VS,A-,5.57,13.3
2023-01-08,VS,B+,29.11,19.26
2023-01-08,VS,B-,13.91,9.84
2023-01-08,VS,AB+,17.88,14.52
2023-01-08,VS,AB-,26.62,18.02
2023-01-08,VS,0+,17.48,9.55
2023-01-08,VS,0-,23.04,19.29
2023-01-08,NE,A+,8.11,4.74
2023-01-08,NE,A-,9.83,5.25
2023-01-08,NE,B+,5.72,4.48
2023-01-08,NE,B-,4.24,3.06
2023-01-08,NE,AB+,1.49,3.39
2023-01-08,NE,AB-,6.98,4.79
2023-01-08,NE,0+,9.72,4.88
2023-01-08,NE,0-,4.17,7.32
2023-01-08,GE,A+,23.82,14.9
2023-01-08,GE,A-,44.43,26.88
2023-01-08,GE,B+,39.04,25.82
2023-01-08,GE,B-,35.22,26.93
2023-01-08,GE,AB+,37.93,25.83
2023-01-08,GE,AB-,21.47,16.97
2023-01-08,GE,0+,35.51,24.04
2023-01-08,GE,0-,3.92,10.51
2023-01-08,JU,A+,0.58,2.17
2023-01-08,JU,A-,1.73,4.89
2023-01-08,JU,B+,1.5,4.82
2023-01-08,JU,B-,5.51,4.43
2023-01-08,JU,AB+,7.05,4.71
2023-01-08,JU,AB-,3.11,2.25
2023-01-08,JU,0+,3.54,2.92
2023-01-08,JU,0-,3.67,2.44
2023-01-15,ZH,A+,27.64,28.24
2023-01-15,ZH,A-,74.51,40.5
2023-01-15,ZH,B+,87.15,43.8
2023-01-15,ZH,B-,53.58,41.41
2023-01-15,ZH,AB+,48.38,35.62
2023-01-15,ZH,AB-,79.38,43.31
2023-01-15,ZH,0+,39.69,31.39
2023-01-15,ZH,0-,7.41,24.0
2023-01-15,BE,A+,7.5,24.01
2023-01-15,BE,A-,17.04,13.62
2023-01-15,BE,B+,24.62,17.83
2023-01-15,BE,B-,27.85,20.26
2023-01-15,BE,AB+,32.56,18.65
2023-01-15,BE,AB-,23.72,16.37
2023-01-15,BE,0+,26.94,22.78
2023-01-15,BE,0-,35.86,22.34
2023-01-15,LU,A+,18.39,11.44
2023-01-15,LU,A-,5.41,20.98
2023-01-15,LU,B+,25.02,17.41
2023-01-15,LU,B-,24.4,13.87
2023-01-15,LU,AB+,29.08,24.0
2023-01-15,LU,AB-,43.41,22.28
2023-01-15,LU,0+,6.77,20.48
2023-01-15,LU,0-,23.11,17.31
2023-01-15,UR,A+,14.49,7.56
2023-01-15,UR,A-,7.35,4.82
2023-01-15,UR,B+,8.94,7.63
2023-01-15,UR,B-,12.5,8.73
2023-01-15,UR,AB+,10.15,6.78
2023-01-15,UR,AB-,12.33,8.8
2023-01-15,UR,0+,6.62,5.07
2023-01-15,UR,0-,4.26,10.33
2023-01-15,SZ,A+,6.73,5.14
2023-01-15,SZ,A-,14.42,8.38
2023-01-15,SZ,B+,18.14,11.67
2023-01-15,SZ,B-,1.34,4.62
2023-01-15,SZ,AB+,12.51,6.35
2023-01-15,SZ,AB-,13.66,10.94
2023-01-15,SZ,0+,10.24,7.74
2023-01-15,SZ,0-,15.4,12.61
2023-01-15,OW,A+,6.15,3.74
2023-01-15,OW,A-,3.47,3.58
2023-01-15,OW,B+,5.4,2.71
2023-01-15,OW,B-,0.6,1.6
2023-01-15,OW,AB+,3.3,2.16
2023-01-15,OW,AB-,3.63,2.12
2023-01-15,OW,0+,5.85,4.31
2023-01-15,OW,0-,2.84,2.03
2023-01-15,NW,A+,4.67,2.38
2023-01-15,NW,A-,6.52,5.44
2023-01-15,NW,B+,2.44,5.13
2023-01-15,NW,B-,3.03,5.58
2023-01-15,NW,AB+,3.97,2.09
2023-01-15,NW,AB-,4.09,3.17
2023-01-15,NW,0+,6.71,3.71
2023-01-15,NW,0-,9.02,5.44
2023-01-15,GL,A+,6.79,5.32
2023-01-15,GL,A-,7.5,4.55
2023-01-15,GL,B+,1.86,5.65
2023-01-15,GL,B-,2.75,2.12
2023-01-15,GL,AB+,5.22,5.19
2023-01-15,GL,AB-,4.36,3.68
2023-01-15,GL,0+,1.42,5.24
2023-01-15,GL,0-,8.68,5.12
2023-01-15,ZG,A+,4.72,3.33
2023-01-15,ZG,A-,8.21,5.96
2023-01-15,ZG,B+,2.03,5.37
2023-01-15,ZG,B-,7.43,5.83
2023-01-15,ZG,AB+,1.35,3.98
2023-01-15,ZG,AB-,11.28,8.59
2023-01-15,ZG,0+,9.31,6.96
2023-01-15,ZG,0-,9.1,6.93
2023-01-15,FR,A+,4.89,4.27
2023-01-15,FR,A-,16.69,11.57
2023-01-15,FR,B+,10.41,5.49
2023-01-15,FR,B-,2.96,8.72
2023-01-15,FR,AB+,14.28,9.93
2023-01-15,FR,AB-,11.68,8.33
2023-01-15,FR,0+,11.68,6.47
2023-01-15,FR,0-,5.04,5.2
2023-01-15,SO,A+,8.38,8.34
2023-01-15,SO,A-,24.57,16.83
2023-01-15,SO,B+,18.94,13.16
2023-01-15,SO,B-,7.87,13.67
2023-01-15,SO,AB+,19.61,15.41
2023-01-15,SO,AB-,20.01,11.45
2023-01-15,SO,0+,19.89,9.98
2023-01-15,SO,0-,5.95,15.03
2023-01-15,BS,A+,7.77,6.14
2023-01-15,BS,A-,12.51,6.68
2023-01-15,BS,B+,20.87,13.7
2023-01-15,BS,B-,10.34,7.04
2023-01-15,BS,AB+,14.25,10.61
2023-01-15,BS,AB-,19.08,13.33
2023-01-15,BS,0+,13.05,6.54
2023-01-15,BS,0-,21.65,11.96
2023-01-15,BL,A+,4.46,11.3
2023-01-15,BL,A-,37.04,18.98
2023-01-15,BL,B+,26.39,15.9
2023-01-15,BL,B-,22.45,16.53
2023-01-15,BL,AB+,4.5,14.63
2023-01-15,BL,AB-,14.9,9.96
2023-01-15,BL,0+,24.43,19.71
2023-01-15,BL,0-,16.01,10.04
2023-01-15,SH,A+,2.74,6.65
2023-01-15,SH,A-,6.39,4.51
2023-01-15,SH,B+,9.59,6.44
2023-01-15,SH,B-,6.61,3.33
2023-01-15,SH,AB+,4.89,3.76
2023-01-15,SH,AB-,11.55,8.5
2023-01-15,SH,0+,8.68,8.7
2023-01-15,SH,0-,5.67,4.24
2023-01-15,AR,A+,4.35,2.6
2023-01-15,AR,A-,6.05,3.68
2023-01-15,AR,B+,7.75,4.98
2023-01-15,AR,B-,8.62,6.46
2023-01-15,AR,AB+,3.73,2.68
2023-01-15,AR,AB-,10.1,6.07
2023-01-15,AR,0+,9.22,6.22
2023-01-15,AR,0-,2.83,2.88
2023-01-15,AI,A+,4.57,2.97
2023-01-15,AI,A-,1.92,1.79
2023-01-15,AI,B+,0.68,2.4
2023-01-15,AI,B-,3.03,2.27
2023-01-15,AI,AB+,2.98,2.23
2023-01-15,AI,AB-,3.73,1.95
2023-01-15,AI,0+,3.64,2.63
2023-01-15,AI,0-,3.92,2.32
2023-01-15,SG,A+,24.38,14.49
2023-01-15,SG,A-,22.08,11.63
2023-01-15,SG,B+,37.2,23.17
2023-01-15,SG,B-,13.18,10.97
2023-01-15,SG,AB+,15.69,14.51
2023-01-15,SG,AB-,29.92,18.83
2023-01-15,SG,0+,25.71,24.58
2023-01-15,SG,0-,21.47,11.56
2023-01-15,GR,A+,26.54,18.41
2023-01-15,GR,A-,23.98,13.12
2023-01-15,GR,B+,5.88,18.39
2023-01-15,GR,B-,16.64,12.56
2023-01-15,GR,AB+,13.07,8.45
2023-01-15,GR,AB-,22.73,16.28
2023-01-15,GR,0+,15.0,11.16
2023-01-15,GR,0-,25.69,17.44
2023-01-15,AG,A+,10.95,8.19
2023-01-15,AG,A-,14.36,10.07
2023-01-15,AG,B+,28.55,21.18
2023-01-15,AG,B-,5.25,14.61
2023-01-15,AG,AB+,29.21,18.66
2023-01-15,AG,AB-,25.17,20.26
2023-01-15,AG,0+,30.96,16.96
2023-01-15,AG,0-,19.69,15.26
2023-01-15,TG,A+,26.2,13.26
2023-01-15,TG,A-,12.6,8.81
2023-01-15,TG,B+,7.03,5.59
2023-01-15,TG,B-,14.33,9.47
2023-01-15,TG,AB+,20.23,11.92
2023-01-15,TG,AB-,16.1,10.18
2023-01-15,TG,0+,18.49,12.25
2023-01-15,TG,0-,10.62,6.76
2023-01-15,TI,A+,4.96,7.81
2023-01-15,TI,A-,16.67,16.55
2023-01-15,TI,B+,10.59,7.34
2023-01-15,TI,B-,13.06,10.46
2023-01-15,TI,AB+,11.61,6.7
2023-01-15,TI,AB-,14.96,13.52
2023-01-15,TI,0+,16.22,12.33
2023-01-15,TI,0-,10.0,8.19
2023-01-15,VD,A+,10.22,26.04
2023-01-15,VD,A-,30.96,25.36
2023-01-15,VD,B+,31.98,17.0
2023-01-15,VD,B-,50.72,31.52
2023-01-15,VD,AB+,24.16,13.42
2023-01-15,VD,AB-,46.98,35.2
2023-01-15,VD,0+,14.59,13.91
2023-01-15,VD,0-,24.31,15.84
2023-01-15,VS,A+,21.57,16.02
2023-01-15,VS,A-,21.51,11.9
2023-01-15,VS,B+,16.53,8.94
2023-01-15,VS,B-,11.9,8.88
2023-01-15,VS,AB+,9.9,9.96
2023-01-15,VS,AB-,19.18,14.24
2023-01-15,VS,0+,35.6,18.02
2023-01-15,VS,0-,11.67,7.85
2023-01-15,NE,A+,7.18,4.08
2023-01-15,NE,A-,4.27,4.05
2023-01-15,NE,B+,11.83,8.28
2023-01-15,NE,B-,11.13,8.34
2023-01-15,NE,AB+,7.88,4.4
2023-01-15,NE,AB-,10.09,8.02
2023-01-15,NE,0+,1.57,4.47
2023-01-15,NE,0-,8.16,4.39
2023-01-15,GE,A+,18.24,10.53
2023-01-15,GE,A-,15.12,13.51
2023-01-15,GE,B+,30.78,19.56
2023-01-15,GE,B-,33.46,25.8
2023-01-15,GE,AB+,46.3,23.94
2023-01-15,GE,AB-,44.87,25.78
2023-01-15,GE,0+,34.35,24.05
2023-01-15,GE,0-,20.2,16.7
2023-01-15,JU,A+,4.49,4.03
2023-01-15,JU,A-,9.41,5.35
2023-01-15,JU,B+,3.89,2.55
2023-01-15,JU,B-,7.43,4.06
2023-01-15,JU,AB+,3.83,2.35
2023-01-15,JU,AB-,2.91,2.06
2023-01-15,JU,0+,8.23,4.59
2023-01-15,JU,0-,3.98,2.62
2023-01-22,ZH,A+,29.28,23.31
2023-01-22,ZH,A-,54.37,34.71
2023-01-22,ZH,B+,50.85,32.87
2023-01-22,ZH,B-,74.98,39.7
2023-01-22,ZH,AB+,57.96,41.17
2023-01-22,ZH,AB-,33.96,27.04
2023-01-22,ZH,0+,56.82,32.93
2023-01-22,ZH,0-,20.23,29.85
2023-01-22,BE,A+,31.92,26.64
2023-01-22,BE,A-,31.77,17.54
2023-01-22,BE,B+,17.33,11.05
2023-01-22,BE,B-,14.95,22.28
2023-01-22,BE,AB+,23.92,15.07
2023-01-22,BE,AB-,24.4,24.83
2023-01-22,BE,0+,49.13,26.75
2023-01-22,BE,0-,36.13,20.37
2023-01-22,LU,A+,3.01,9.38
2023-01-22,LU,A-,22.98,14.2
2023-01-22,LU,B+,23.58,23.04
2023-01-22,LU,B-,3.82,9.68
2023-01-22,LU,AB+,19.19,10.07
2023-01-22,LU,AB-,24.25,16.09
2023-01-22,LU,0+,17.44,14.27
2023-01-22,LU,0-,25.61,16.49
2023-01-22,UR,A+,4.93,3.79
2023-01-22,UR,A-,2.14,6.38
2023-01-22,UR,B+,12.08,8.1
